,XJT US Equity
2006-07-20,66.1
2006-07-21,65.7
2006-07-24,67.3
2006-07-25,69.3
2006-07-26,68.5
2006-07-27,68.5
2006-07-28,69
2006-07-31,68.4
2006-08-01,69
2006-08-02,68.6
2006-08-03,68.9
2006-08-04,68.4
2006-08-07,67.6
2006-08-08,66.1
2006-08-09,63.1
2006-08-10,65.3
2006-08-11,62.1
2006-08-14,63.7
2006-08-15,64.6
2006-08-16,65.4
2006-08-17,66.4
2006-08-18,65.3
2006-08-21,63.9
2006-08-22,65.6
2006-08-23,64.3
2006-08-24,64.1
2006-08-25,65.1
2006-08-28,67.4
2006-08-29,67.4
2006-08-30,68.9
2006-08-31,69.9
2006-09-01,69.8
2006-09-05,69.1
2006-09-06,67.2
2006-09-07,65.8
2006-09-08,65.8
2006-09-11,65.5
2006-09-12,69
2006-09-13,69.7
2006-09-14,71.2
2006-09-15,72.4
2006-09-18,71.1
2006-09-19,72.7
2006-09-20,72.3
2006-09-21,69.1
2006-09-22,67.8
2006-09-25,69.7
2006-09-26,68.3
2006-09-27,68
2006-09-28,66.6
2006-09-29,66.1
2006-10-02,65.8
2006-10-03,68.3
2006-10-04,68.9
2006-10-05,69.8
2006-10-06,69.8
2006-10-09,70.5
2006-10-10,70.3
2006-10-11,70.1
2006-10-12,71.9
2006-10-13,72.7
2006-10-16,73.7
2006-10-17,73.2
2006-10-18,73.7
2006-10-19,75
2006-10-20,77.8
2006-10-23,77.8
2006-10-24,76.5
2006-10-25,77.7
2006-10-26,79.8
2006-10-27,79.5
2006-10-30,81.2
2006-10-31,79.4
2006-11-01,77.8
2006-11-02,78
2006-11-03,77
2006-11-06,80
2006-11-07,82.3
2006-11-08,75.6
2006-11-09,70.2
2006-11-10,73.4
2006-11-13,74.1
2006-11-14,75.6
2006-11-15,77.6
2006-11-16,77
2006-11-17,76.6
2006-11-20,74.9
2006-11-21,77.8
2006-11-22,79
2006-11-24,79
2006-11-27,76.9
2006-11-28,77.6
2006-11-29,78.8
2006-11-30,79
2006-12-01,79.5
2006-12-04,80.7
2006-12-05,82.4
2006-12-06,83.9
2006-12-07,84
2006-12-08,85.5
2006-12-11,86
2006-12-12,85.5
2006-12-13,86.3
2006-12-14,87.1
2006-12-15,87.5
2006-12-18,87.7
2006-12-19,86.6
2006-12-20,86.6
2006-12-21,79.1
2006-12-22,78.9
2006-12-26,82.5
2006-12-27,82.5
2006-12-28,81.8
2006-12-29,81
2007-01-03,83.5
2007-01-04,84
2007-01-05,83.2
2007-01-08,84.2
2007-01-09,85.6
2007-01-10,86
2007-01-11,89.8
2007-01-12,92
2007-01-16,95.5
2007-01-17,91.8
2007-01-18,92.1
2007-01-19,94.9
2007-01-22,91.8
2007-01-23,87.7
2007-01-24,83.1
2007-01-25,82
2007-01-26,79.8
2007-01-29,80
2007-01-30,78
2007-01-31,78.1
2007-02-01,80.2
2007-02-02,78.5
2007-02-05,76.3
2007-02-06,77
