,MESA US Equity
2020-11-04,3.3
2020-11-05,3.36
2020-11-06,3.42
2020-11-09,3.78
2020-11-10,4.3
2020-11-11,4.06
2020-11-12,4
2020-11-13,4.33
2020-11-16,4.74
2020-11-17,5.03
2020-11-18,4.92
2020-11-19,5.01
2020-11-20,4.98
2020-11-23,5.48
2020-11-24,6.15
2020-11-25,6.24
2020-11-27,6.68
2020-11-30,6.38
2020-12-01,6.725
2020-12-02,7.16
2020-12-03,7.63
2020-12-04,7.73
2020-12-07,7.71
2020-12-08,7.63
2020-12-09,7.23
2020-12-10,7.36
2020-12-11,7.08
2020-12-14,6.75
2020-12-15,6.97
2020-12-16,6.86
2020-12-17,6.84
2020-12-18,6.565
2020-12-21,6.47
2020-12-22,6.2
2020-12-23,6.4
2020-12-24,6.29
2020-12-28,6.23
2020-12-29,6.18
2020-12-30,6.4
2020-12-31,6.69
2021-01-04,6.32
2021-01-05,6.4
2021-01-06,6.73
2021-01-07,6.62
2021-01-08,6.55
2021-01-11,6.42
2021-01-12,6.47
2021-01-13,6.54
2021-01-14,6.79
2021-01-15,6.54
2021-01-19,6.82
2021-01-20,6.9
2021-01-21,6.68
2021-01-22,6.61
2021-01-25,6.48
2021-01-26,6.53
2021-01-27,6.34
2021-01-28,6.62
2021-01-29,6.53
2021-02-01,6.63
2021-02-02,6.67
2021-02-03,6.92
2021-02-04,7.21
2021-02-05,7.13
2021-02-08,7.42
2021-02-09,7.44
2021-02-10,9.59
2021-02-11,10.02
2021-02-12,9.94
2021-02-16,10.6
2021-02-17,11.8
2021-02-18,12.095
2021-02-19,12.14
2021-02-22,12.71
2021-02-23,12.48
2021-02-24,13.37
2021-02-25,12.47
2021-02-26,12.2
2021-03-01,12.99
2021-03-02,14.16
2021-03-03,15.3
2021-03-04,12.99
2021-03-05,12.59
2021-03-08,13.96
2021-03-09,15.29
2021-03-10,16.58
2021-03-11,15.59
2021-03-12,15.255
2021-03-15,15.77
2021-03-16,14.74
2021-03-17,14.95
2021-03-18,14.53
2021-03-19,14.47
2021-03-22,13.71
2021-03-23,13.13
2021-03-24,12.57
2021-03-25,13.24
2021-03-26,13.3
2021-03-29,13.08
2021-03-30,13.74
2021-03-31,13.45
2021-04-01,13.29
2021-04-05,13.72
2021-04-06,13.78
2021-04-07,13.49
2021-04-08,13.1
2021-04-09,12.96
2021-04-12,12.39
2021-04-13,12.37
2021-04-14,12.51
2021-04-15,12.11
2021-04-16,12.1
2021-04-19,11.7
2021-04-20,11.04
2021-04-21,11.19
2021-04-22,10.84
2021-04-23,11.26
2021-04-26,11.38
2021-04-27,11.35
2021-04-28,11.18
2021-04-29,11.21
2021-04-30,11.26
2021-05-03,11.55
2021-05-04,11.06
2021-05-05,11.09
2021-05-06,11.07
2021-05-07,11.15
2021-05-10,10.9
2021-05-11,10.38
2021-05-12,9.78
2021-05-13,10.1
2021-05-14,10.58
2021-05-17,10.74
2021-05-18,10.74
2021-05-19,10.65
2021-05-20,10.41
2021-05-21,10.39
2021-05-24,10.53
2021-05-25,10.44
2021-05-26,11.21
2021-05-27,11.07
2021-05-28,9.72
2021-06-01,9.79
2021-06-02,9.92
2021-06-03,9.66
2021-06-04,9.52
2021-06-07,9.51
2021-06-08,9.28
2021-06-09,9.59
2021-06-10,9.57
2021-06-11,9.82
2021-06-14,9.55
2021-06-15,9.55
2021-06-16,9.6
2021-06-17,9.36
2021-06-18,9.19
2021-06-21,9.39
2021-06-22,9.43
2021-06-23,9.35
2021-06-24,9.49
2021-06-25,9.25
2021-06-28,9.24
2021-06-29,9.32
2021-06-30,9.33
2021-07-01,9.61
2021-07-02,9.32
2021-07-06,9
2021-07-07,8.73
2021-07-08,8.85
2021-07-09,8.88
2021-07-12,8.99
2021-07-13,8.78
2021-07-14,8.8
2021-07-15,8.92
2021-07-16,8.9
2021-07-19,8.27
2021-07-20,8.85
2021-07-21,9.18
2021-07-22,8.96
2021-07-23,8.97
2021-07-26,9.37
2021-07-27,9.12
2021-07-28,9.19
2021-07-29,9.09
2021-07-30,8.92
